video_id,class,kinetics_start,kinetics_end,repetition_start,repetition_end,count
APkos_Kqa3M,battle rope training,17,27,17,26.976643,20
AaTvErday_s,battle rope training,121,131,121.9,131,12
AnEm66_ZHvQ,battle rope training,20,30,21.001001,29.80981,8
AsJgDPLu_ro,battle rope training,13,23,13,14.468135,3
AsJgDPLu_ro,battle rope training,13,23,18.638972,22.876543,11
BuhAROfTtx8,battle rope training,1,11,4.327619,10.982858,9
C-X1eJftb-g,battle rope training,19,29,19,28.976643,19
DMc9Jkvwc_s,battle rope training,17,27,17,19.4,4
DMc9Jkvwc_s,battle rope training,17,27,19.733333,26.233333,9
DkonD7QOe64,battle rope training,12,22,12,13.301301,7
DkonD7QOe64,battle rope training,12,22,13.601602,21.225893,35
D5Ge91h0XZw,battle rope training,38,48,38,44.633333,7
EKEJHzTW53s,battle rope training,15,25,22.4,24.866667,3
EKEJHzTW53s,battle rope training,15,25,15,17.666666,4
E2iBgyvSZ9U,battle rope training,192,202,192,196.25,5
FGsndIt1TW4,battle rope training,0,10,1.334668,9.976643,30
FQaVcc3dH40,battle rope training,70,80,70,73.503504,18
F-8dgkZaeIk,battle rope training,0,10,5.083334,10,20
GWOuD3bwuEs,battle rope training,31,41,33.308542,40.970223,34
GgB8iZiCT1o,battle rope training,32,42,32,34.833333,7
GgB8iZiCT1o,battle rope training,32,42,37.1,42,14
HIZspvfDzDY,battle rope training,5,15,5,12.207207,15
IMUfloztTy8,battle rope training,0,10,2.6,10,30
Iq4o6y85Vec,battle rope training,186,196,186,192.214548,4
JDdb4kNuKOE,battle rope training,14,24,14,23.976643,25
JQu6cUHQTpI,battle rope training,220,230,220,224.937437,7
KTt523FY7MI,battle rope training,0,10,1.533333,10,73
KdF4TYh6YU4,battle rope training,33,43,33,42.533333,16
K29P_UTBYRg,battle rope training,0,10,0,9.976643,6
M1xNdRTPKwo,battle rope training,39,49,39,45.92359,11
M7Urc9uBjBU,battle rope training,34,44,43.04,44,2
N0LntA705tY,battle rope training,0,10,0,6.683333,9
N0LntA705tY,battle rope training,0,10,6.766667,10,3
OCKdRmWU1nE,battle rope training,21,31,21,26.2,8
OCKdRmWU1nE,battle rope training,21,31,26.68,31,16
O6LHTs3bMG8,battle rope training,5,15,6.033333,15,30
PKeK_H-DOvU,battle rope training,7,17,7,16.2,41
Qdz2TK3Gd-U,battle rope training,11,21,18.807808,20.95996,14
QvHRHdDaSI8,battle rope training,19,29,19,23.206897,12
Q2L3tDbuIus,battle rope training,0,10,0,6.3,8
Q2t1S__Hugo,battle rope training,0,10,6.066667,10,23
RGq54UYpkmo,battle rope training,1,11,1.533867,10.142476,6
RLrJsS3uir8,battle rope training,1,11,1,10.109109,5
RQ48AUI_unk,battle rope training,312,322,319.866667,322,3
Rj3qGw4wXDk,battle rope training,0,10,4.533333,9.666667,21
RlDSusLqfPU,battle rope training,33,43,33.667334,40.424091,4
R9zEwOi7gyU,battle rope training,35,45,35,35.4,2
R9zEwOi7gyU,battle rope training,35,45,38.466667,41.233333,19
R9zEwOi7gyU,battle rope training,35,45,44.6,45,3
R98X4gBGuhg,battle rope training,88,98,88,98,32
SGXtlWfhh_M,battle rope training,19,29,19,23.337671,4
THGD3_0enHU,battle rope training,7,17,7,16.872677,6
TzvT-p_Hq-Y,battle rope training,28,38,29.117784,31.603603,5
TzvT-p_Hq-Y,battle rope training,28,38,34.306306,37.943277,6
VpUOfMeFx-U,battle rope training,63,73,63,67.8,9
V9yyYRHqWOE,battle rope training,27,37,33.44,37,7
W2bvLjnEsMo,battle rope training,22,32,22.083333,31.458333,14
YlDyf8pJ1AY,battle rope training,7,17,7,17,34
ZAzz9icRTLY,battle rope training,15,25,15,21.106106,26
a-APH0A_8FU,battle rope training,1,11,6.766667,11,11
bEo2REq5rNo,battle rope training,72,82,72,82,30
bP15zMeQFRQ,battle rope training,0,10,0,9,18
bb9VlOqeeWo,battle rope training,11,21,11,12.468135,2
bb9VlOqeeWo,battle rope training,11,21,13.469136,20.109109,13
deifD9uXqHY,battle rope training,5,15,7.45,9.6,12
deifD9uXqHY,battle rope training,5,15,14.216667,14.933333,10
dm8jRVaTVU8,battle rope training,0,10,0,7.482759,2
e9qMAKsTugA,battle rope training,44,54,44.68,46.48,11
f0NROisZxSQ,battle rope training,0,10,0,9.968302,46
f8WmWqDfDWA,battle rope training,0,10,0,7.907908,15
gmFBIDELc2A,battle rope training,18,28,18,28,23
g5WozmwLles,battle rope training,16,26,16.884217,20.854855,4
g8eOBQ4ceSU,battle rope training,67,77,68.15,71.7,4
g8eOBQ4ceSU,battle rope training,67,77,74.566666,76.95,3
hEk_hUf5SrM,battle rope training,0,10,0.500501,6.27294,4
hHdt-T-9m8k,battle rope training,97,107,97,107,16
i1C2_DysMBQ,battle rope training,159,169,159,162.516667,9
i1C2_DysMBQ,battle rope training,159,169,164.433333,169,16
jicpnWiGUxg,battle rope training,6,16,6,15.009009,33
jjVpRAHiDiU,battle rope training,1,11,1,10.517241,25
kGiNcopDxYo,battle rope training,0,10,3.333333,9.2,27
klIJt63NnU0,battle rope training,104,114,104,107.533333,9
klIJt63NnU0,battle rope training,104,114,110.966667,114,16
k3OYki3qGs0,battle rope training,72,82,72,76.637971,9
lK84CEi3-FA,battle rope training,0,10,0,10,48
lb8FUJtB8Dk,battle rope training,2,12,8.57324,11.976643,9
l0IbxJrvkps,battle rope training,0,10,1.434768,5.338672,5
nQD9ZYqcjYk,battle rope training,5,15,5.657053,14.648304,13
ngmxcA8EYjc,battle rope training,4,14,5,14,24
nhjBZrGRwRc,battle rope training,220,230,221.418085,223.38672,9
